id,place_name,district,place_type,city,latitude,longitude,distance_from_vijayawada_km,distance_from_visakhapatnam_km,distance_from_tirupati_km,estimated_travel_time_hours,best_season,crowd_level,average_visit_duration_hours,entry_fee_inr,rating
22491,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,39.3,366.8,340.5,0.7,July-October,Low,2.3,0,4.1
22492,Kakinada,Kakinada,Famous City,Kakinada,16.9891,82.2475,206.4,138.0,514.6,3.4,October-March,Very High,3.6,0,3.8
22493,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,477.3,110.6,792.3,2.3,July-October,Low,5.7,0,3.7
22494,Lepakshi Point,Sri Sathya Sai,Heritage,Lepakshi,13.802059,77.593361,519.8,890.3,234.7,6.1,June-September,Very High,5.5,20,3.5
22495,Papikondalu Point,Alluri Sitharama Raju,Nature,Rajamahendravaram,17.442376,81.703803,174.7,181.3,563.7,3.3,June-September,High,1.3,0,3.9
22496,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,460.1,108.4,748.8,2.5,December-February,High,1.4,0,4.4
22497,Tirumala Venkateswara Temple View,Tirupati,Lake,Tirupati,13.689193,79.316586,419.7,699.8,15.5,0.3,December-February,Very High,3.7,20,4.5
22498,Kanaka Durga Temple Region,NTR,Tourist Place,Vijayawada,16.486522,80.585212,7.8,354.4,386.4,0.2,July-October,Medium,4.2,50,3.2
22499,Ethipothala Waterfalls View,Palnadu,Hill Station,Nagarjuna Sagar,16.135557,79.311099,162.5,475.4,297.5,4.3,November-February,High,1.7,10,4.6
22500,Horsley Hills Point,Annamayya,Hill Station,Madanapalle,13.669086,78.424308,477.1,741.9,130.0,2.6,November-February,Low,3.2,10,4.5
22501,Madanapalle,Annamayya,Famous City,Madanapalle,13.55,78.5,485.7,831.8,114.2,2.4,December-February,Very High,1.7,0,3.8
22502,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,156.5,437.4,248.8,3.0,July-October,High,5.0,0,3.8
22503,Vijayawada,NTR,Famous City,Vijayawada,16.5062,80.648,0.0,326.3,427.2,0.0,June-September,Low,4.3,0,5.0
22504,Sri Kalahasti Temple Tourism Zone,Tirupati,Temple,Srikalahasti,13.73129,79.681382,403.4,698.3,34.7,0.7,December-February,Medium,5.7,10,3.4
22505,Kanipakam Temple Point,Chittoor,Temple,Kanipakam,13.283042,79.125057,415.2,759.9,53.8,1.0,Year Round,Low,1.7,20,3.3
22506,Annavaram Satyanarayana Temple Region,Kakinada,Temple,Annavaram,17.687277,83.02518,353.4,22.2,648.3,0.4,June-September,High,1.8,50,3.7
22507,Kambalakonda Wildlife Sanctuary View,Visakhapatnam,Lake,Visakhapatnam,17.803837,83.328797,343.4,20.7,748.7,0.4,July-October,Low,5.7,50,3.6
22508,Sri Kalahasti Temple Point,Tirupati,Temple,Srikalahasti,13.769963,79.685719,399.2,678.1,35.4,0.8,July-October,High,1.3,10,4.3
22509,Borra Caves Tourism Zone,Alluri Sitharama Raju,Caves,Araku,18.278117,83.056147,387.5,74.0,725.1,1.6,July-October,Low,5.0,10,3.9
22510,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,227.1,587.8,344.1,5.9,October-March,Medium,4.0,0,4.4
22511,Araku Valley View,Alluri Sitharama Raju,Hill Station,Araku,18.301844,82.851399,371.3,94.5,765.2,1.8,November-February,Very High,4.7,0,4.1
22512,Amaralingeswara Temple Tourism Zone,Palnadu,Temple,Amaravati,16.55191,80.328164,37.9,381.5,365.8,0.9,November-February,High,4.0,10,4.0
22513,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,374.0,0.0,670.4,0.0,Year Round,Medium,1.5,0,4.0
22514,Sri Kalahasti Temple View,Tirupati,Temple,Srikalahasti,13.748056,79.668128,343.3,612.2,34.4,0.9,June-September,Low,3.4,100,4.8
22515,Uppada Beach View,Kakinada,Beach,Uppada,16.850682,82.240702,198.9,151.0,569.9,3.2,December-February,Medium,3.8,0,4.3
22516,Undavalli Caves Tourism Zone,NTR,Caves,Vijayawada,16.489451,80.536397,14.5,387.7,412.8,0.3,October-March,Very High,6.0,150,3.6
22517,Tirupati,Tirupati,Famous City,Tirupati,13.6288,79.4192,391.3,694.3,0.0,0.0,December-February,Very High,3.3,0,4.3
22518,Draksharamam Temple View,Kakinada,Temple,Draksharamam,16.781892,82.251881,190.7,175.0,524.0,4.5,July-October,Low,1.7,0,3.3
22519,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,450.2,809.7,269.2,6.9,Year Round,Very High,3.1,0,3.4
22520,Kondapalli Fort,NTR,Fort,Kondapalli,16.603346,80.566319,15.2,339.6,398.3,0.3,June-September,High,1.9,150,4.7
22521,Tirupati,Tirupati,Famous City,Tirupati,13.6288,79.4192,390.5,758.2,0.0,0.0,December-February,Low,1.9,0,3.8
22522,Yarada Beach Region,Visakhapatnam,Beach,Visakhapatnam,17.679648,83.293265,369.4,9.1,716.6,0.2,July-October,Very High,1.7,0,3.8
22523,Talakona Waterfalls View,Tirupati,Hill Station,Tirupati,13.792794,79.143157,410.9,758.9,40.8,0.7,November-February,Medium,3.2,150,4.4
22524,Veerabhadra Temple Point,Sri Sathya Sai,Temple,Lepakshi,13.797754,77.596382,469.8,831.6,244.1,5.9,July-October,High,3.7,200,3.7
22525,Kambalakonda Wildlife Sanctuary Point,Visakhapatnam,Wildlife,Visakhapatnam,17.782147,83.32788,381.1,19.0,762.0,0.4,Year Round,High,2.7,50,4.3
22526,Undavalli Caves Point,NTR,Waterfall,Vijayawada,16.467068,80.546589,13.1,371.4,393.0,0.3,November-February,Medium,4.7,10,4.4
22527,Manginapudi Beach Area,Krishna,Beach,Machilipatnam,16.138006,81.168284,85.7,332.0,370.7,2.0,July-October,Medium,5.5,0,3.7
22528,Prakasam Barrage Point,NTR,Landmark,Vijayawada,16.535542,80.608126,5.8,355.6,425.0,0.1,October-March,Low,5.7,0,4.2
22529,Coringa Wildlife Sanctuary Region,Kakinada,Wildlife,Kakinada,16.820037,82.236338,208.3,157.1,563.8,3.0,June-September,High,1.8,10,3.4
22530,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,425.0,58.0,716.5,1.1,December-February,Low,4.0,0,4.2
22531,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,56.7,291.8,462.5,1.1,July-October,Medium,1.3,0,4.2
22532,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,486.0,772.7,63.6,1.4,October-March,High,5.6,0,4.6
22533,Machilipatnam,Krishna,Famous City,Machilipatnam,16.1875,81.1389,79.0,297.9,418.6,2.0,December-February,Very High,3.6,0,4.6
22534,Vizianagaram Fort Point,Vizianagaram,Fort,Vizianagaram,18.081261,83.390042,392.1,51.5,723.5,1.1,June-September,Low,5.7,10,4.8
22535,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,282.4,641.0,255.7,4.7,November-February,High,2.0,0,4.3
22536,Srisailam Mallikarjuna Temple,Nandyal,Temple,Srisailam,16.079325,78.895057,222.2,539.3,296.7,4.1,October-March,Low,4.1,30,3.9
22537,Coringa Wildlife Sanctuary Point,Kakinada,Wildlife,Kakinada,16.872193,82.253177,218.8,165.2,530.5,3.3,July-October,Very High,2.5,100,4.0
22538,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,454.5,812.8,272.0,5.0,July-October,Medium,3.0,0,4.3
22539,Vijayawada,NTR,Famous City,Vijayawada,16.5062,80.648,0.0,363.2,420.5,0.0,June-September,Medium,2.5,0,3.2
22540,Horsley Hills,Annamayya,Hill Station,Madanapalle,13.626823,78.373569,489.9,806.8,127.6,2.9,Year Round,Medium,4.6,100,3.8
22541,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,315.7,692.4,274.7,6.9,July-October,Medium,3.9,0,3.9
22542,Prakasam Barrage Tourism Zone,NTR,Landmark,Vijayawada,16.535512,80.644165,4.1,371.7,391.5,0.1,June-September,High,4.5,0,3.8
22543,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,315.3,638.9,128.2,3.0,Year Round,Low,4.1,0,4.0
22544,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,490.0,818.2,62.4,1.5,Year Round,High,4.5,0,3.3
22545,Kambalakonda Wildlife Sanctuary View,Visakhapatnam,Wildlife,Visakhapatnam,17.768255,83.268239,350.6,11.7,677.5,0.2,October-March,High,4.3,20,3.2
22546,Madanapalle,Annamayya,Famous City,Madanapalle,13.55,78.5,492.7,721.9,116.6,2.0,Year Round,High,5.6,0,3.6
22547,Borra Caves,Alluri Sitharama Raju,Caves,Araku,18.314096,83.047308,394.2,85.3,784.1,2.0,November-February,Very High,1.3,30,4.2
22548,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,57.3,272.3,424.1,1.4,November-February,High,5.2,0,3.4
22549,Srikurmam Temple Point,Srikakulam,Temple,Srikurmam,18.281323,83.925495,455.6,109.7,778.8,1.9,December-February,Very High,5.4,20,4.8
22550,Talakona Waterfalls Region,Tirupati,Waterfall,Tirupati,13.790123,79.137021,384.8,768.5,42.6,0.7,July-October,High,1.6,20,4.0
22551,Annavaram Satyanarayana Temple Tourism Zone,Kakinada,Wildlife,Annavaram,17.699224,82.975672,326.6,27.3,727.5,0.6,December-February,High,1.7,200,3.8
22552,Lambasingi,Alluri Sitharama Raju,Hill Station,Lambasingi,17.872143,82.516642,266.9,88.3,612.0,1.7,October-March,Low,4.8,100,4.9
22553,Bhavani Island,NTR,Tourist Place,Vijayawada,16.543043,80.627133,5.8,361.2,402.2,0.1,Year Round,Very High,1.8,50,4.1
22554,Horsley Hills Region,Annamayya,Lake,Madanapalle,13.622738,78.371702,487.5,757.3,120.2,2.5,December-February,Medium,3.8,20,3.3
22555,Amaralingeswara Temple,Palnadu,Temple,Amaravati,16.550333,80.360654,33.4,368.4,384.7,0.6,October-March,High,2.6,150,3.5
22556,Uppada Beach,Kakinada,Temple,Uppada,16.836224,82.22134,186.9,174.9,556.3,3.1,June-September,Medium,3.9,10,3.5
22557,Uppada Beach Point,Kakinada,Heritage,Uppada,16.864066,82.245883,191.5,153.9,543.6,3.0,June-September,Very High,1.5,0,4.3
22558,Borra Caves Region,Alluri Sitharama Raju,Caves,Araku,18.29036,83.05908,365.5,73.2,729.7,1.8,Year Round,Low,2.4,0,4.9
22559,Papikondalu Region,Alluri Sitharama Raju,Nature,Rajamahendravaram,17.436229,81.717579,191.0,177.8,525.2,4.0,June-September,High,4.7,0,3.4
22560,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,65.5,266.0,474.2,1.2,Year Round,Low,5.5,0,3.7
22561,Uppada Beach,Kakinada,Beach,Uppada,16.803974,82.252753,199.6,170.8,509.6,3.3,December-February,High,5.5,0,3.3
22562,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,35.9,349.9,343.8,0.7,November-February,Medium,1.4,0,4.2
22563,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,151.6,195.9,507.8,2.9,October-March,Very High,5.0,0,3.7
22564,Coringa Wildlife Sanctuary Tourism Zone,Kakinada,Wildlife,Kakinada,16.841578,82.257463,211.8,152.5,548.6,2.6,July-October,Very High,3.7,100,3.3
22565,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,318.4,0.0,687.4,0.0,November-February,High,4.0,0,4.0
22566,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,138.4,512.4,260.7,2.6,July-October,Low,2.0,0,4.2
22567,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,39.5,388.8,338.0,0.9,December-February,Low,1.1,0,4.4
22568,Amaralingeswara Temple Tourism Zone,Palnadu,Temple,Amaravati,16.606299,80.354646,39.3,379.7,364.2,0.7,December-February,Very High,3.8,50,4.2
22569,Dwaraka Tirumala Temple Area,Eluru,Temple,Dwaraka Tirumala,16.974954,81.240119,98.3,235.9,443.0,1.9,July-October,High,4.0,0,4.1
22570,Kolleru Lake Tourism Zone,Eluru,Lake,Eluru,16.644573,81.2326,74.4,264.7,482.7,1.4,Year Round,Medium,5.0,200,3.3
22571,Annavaram Satyanarayana Temple,Kakinada,Landmark,Annavaram,17.710545,83.005744,320.9,25.2,683.3,0.6,November-February,Low,4.6,0,4.8
22572,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,334.0,733.8,350.3,6.3,November-February,Low,3.0,0,4.5
22573,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,37.3,369.8,404.7,0.9,Year Round,Low,5.5,0,4.5
22574,Panakala Narasimha Swamy Temple View,Guntur,Temple,Mangalagiri,16.462611,80.593523,8.9,349.1,416.0,0.2,July-October,High,2.7,20,4.1
22575,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,371.5,56.5,722.2,1.5,July-October,High,3.6,0,4.4
22576,Ethipothala Waterfalls Tourism Zone,Palnadu,Waterfall,Nagarjuna Sagar,16.129982,79.346945,158.3,558.4,341.1,3.2,July-October,High,3.7,50,4.9
22577,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,371.0,0.0,697.2,0.0,November-February,Low,2.3,0,3.8
22578,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,432.2,702.8,62.2,1.5,June-September,Very High,2.2,0,4.5
22579,Veerabhadra Temple Point,Sri Sathya Sai,Temple,Lepakshi,13.79344,77.598747,474.4,894.7,215.3,4.7,Year Round,Low,4.3,30,4.3
22580,Prakasam Barrage Area,NTR,Landmark,Vijayawada,16.516513,80.650142,1.3,327.8,422.7,0.0,December-February,Medium,4.3,0,4.7
22581,Undavalli Caves Point,NTR,Caves,Vijayawada,16.515564,80.555661,10.5,342.4,414.3,0.2,December-February,Low,2.3,200,4.1
22582,Tirumala Venkateswara Temple Area,Tirupati,Temple,Tirupati,13.661628,79.361015,389.9,675.2,8.9,0.2,Year Round,Medium,2.7,200,4.9
22583,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,334.0,0.0,710.4,0.0,October-March,Low,1.1,0,3.5
22584,Bhavani Island Region,NTR,Tourist Place,Vijayawada,16.529001,80.570868,10.4,359.6,386.1,0.2,Year Round,Medium,5.1,30,4.2
22585,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,157.6,493.0,247.2,2.9,July-October,Medium,1.5,0,3.7
22586,Sri Kalahasti Temple Region,Tirupati,Nature,Srikalahasti,13.755735,79.722633,346.4,628.3,40.0,1.0,December-February,Medium,4.9,0,5.0
22587,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,265.9,607.6,132.7,2.7,July-October,Very High,4.9,0,3.8
22588,Horsley Hills Tourism Zone,Annamayya,Hill Station,Madanapalle,13.655921,78.368183,491.7,737.2,137.3,3.4,July-October,High,3.9,150,4.7
22589,Borra Caves View,Alluri Sitharama Raju,Caves,Araku,18.265014,83.024063,366.4,83.0,734.2,1.9,November-February,Very High,2.2,100,4.1
22590,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,341.5,674.2,349.8,8.0,November-February,Medium,2.4,0,3.8
22591,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,426.2,816.5,255.2,5.4,July-October,High,4.2,0,3.3
22592,Horsley Hills View,Annamayya,Landmark,Madanapalle,13.659956,78.429916,453.4,758.8,132.6,2.5,November-February,Very High,5.6,0,3.4
22593,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,366.5,697.3,139.6,3.2,Year Round,High,2.6,0,3.8
22594,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,137.3,480.2,249.8,2.4,July-October,Medium,2.7,0,3.3
22595,Pulicat Lake,Tirupati,Lake/Wildlife,Sullurpeta,13.558921,80.089161,394.9,703.9,82.0,1.4,November-February,Low,3.3,30,3.9
22596,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,329.8,0.0,672.8,0.0,October-March,Medium,1.6,0,3.8
22597,Madanapalle,Annamayya,Famous City,Madanapalle,13.55,78.5,452.2,801.8,122.6,2.3,December-February,Low,4.4,0,3.3
22598,Tirumala Venkateswara Temple View,Tirupati,Temple,Tirupati,13.679424,79.316364,370.4,742.2,14.8,0.3,November-February,Low,1.7,200,4.4
22599,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,322.5,731.2,316.8,6.3,November-February,Low,3.0,0,4.4
22600,Kondapalli Fort Region,NTR,Fort,Kondapalli,16.604067,80.556053,17.8,356.1,370.8,0.3,December-February,High,2.7,150,3.5
22601,Undavalli Caves Area,NTR,Caves,Vijayawada,16.469326,80.539645,13.4,378.1,422.1,0.3,Year Round,High,2.1,50,4.0
22602,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,56.1,291.9,442.6,1.0,Year Round,Low,2.4,0,3.9
22603,Simhachalam Temple Area,Visakhapatnam,Temple,Visakhapatnam,17.76003,83.239684,345.7,8.9,691.3,0.2,July-October,Low,4.6,150,3.8
22604,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,465.2,853.0,248.8,5.7,June-September,Low,3.2,0,3.4
22605,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,343.8,0.0,652.4,0.0,June-September,Low,5.3,0,4.7
22606,Papikondalu,Alluri Sitharama Raju,Nature,Rajamahendravaram,17.420416,81.738971,177.1,189.2,536.5,4.6,December-February,High,3.2,0,3.8
22607,Borra Caves View,Alluri Sitharama Raju,Wildlife,Araku,18.250939,83.04779,381.8,73.8,761.3,1.4,Year Round,High,4.5,30,4.2
22608,Pulicat Lake View,Tirupati,Lake/Wildlife,Sullurpeta,13.553321,80.094683,361.8,669.1,77.2,1.5,Year Round,Very High,4.3,30,3.7
22609,Kolleru Lake Region,Eluru,Beach,Eluru,16.681366,81.191854,76.1,295.4,438.3,2.0,October-March,Medium,5.6,0,3.4
22610,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,34.4,412.6,363.1,0.7,June-September,Very High,2.3,0,3.8
22611,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,62.3,278.7,430.7,1.5,December-February,Very High,3.9,0,4.4
22612,Panakala Narasimha Swamy Temple View,Guntur,Temple,Mangalagiri,16.428574,80.580434,11.8,334.2,366.2,0.2,December-February,Very High,3.4,200,3.7
22613,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,316.9,704.1,128.7,3.0,October-March,Medium,4.2,0,3.5
22614,Dwaraka Tirumala Temple Point,Eluru,Temple,Dwaraka Tirumala,16.949489,81.266713,89.0,267.9,496.5,2.0,December-February,Low,3.1,100,3.4
22615,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,296.1,550.2,134.0,2.9,December-February,Medium,2.8,0,4.7
22616,Kurnool,Kurnool,Famous City,Kurnool,15.8281,78.0373,329.5,649.7,300.6,7.1,Year Round,Low,3.2,0,4.4
22617,Undavalli Caves View,NTR,Lake,Vijayawada,16.517185,80.544938,12.9,390.3,398.5,0.3,June-September,Very High,5.0,100,4.1
22618,Tirupati,Tirupati,Famous City,Tirupati,13.6288,79.4192,394.9,692.4,0.0,0.0,Year Round,Medium,1.3,0,4.5
22619,Gandikota Fort Point,YSR Kadapa,Famous City,Gandikota,14.817503,78.281535,337.7,761.4,201.9,5.0,December-February,High,2.7,0,3.3
22620,Gandikota Fort Area,YSR Kadapa,Fort,Gandikota,14.786019,78.261832,392.5,718.4,210.2,4.0,Year Round,Medium,5.8,150,3.2
22621,Lepakshi Point,Sri Sathya Sai,Heritage,Lepakshi,13.790274,77.588498,513.1,832.7,237.6,4.5,June-September,High,2.5,100,4.3
22622,Ethipothala Waterfalls Point,Palnadu,Famous City,Nagarjuna Sagar,16.122135,79.359544,169.0,506.4,344.1,3.4,October-March,Medium,5.5,0,4.9
22623,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,153.7,179.8,515.3,2.8,Year Round,Medium,4.0,0,4.5
22624,Srisailam Mallikarjuna Temple Region,Nandyal,Temple,Srisailam,16.104356,78.858716,217.6,573.8,324.7,4.9,October-March,High,2.4,30,4.1
22625,Kanaka Durga Temple Area,NTR,Tourist Place,Vijayawada,16.520056,80.627723,3.0,373.1,366.6,0.1,Year Round,Medium,4.7,20,3.9
22626,Lepakshi Region,Sri Sathya Sai,Wildlife,Lepakshi,13.832289,77.592191,502.9,852.0,225.3,4.8,December-February,Very High,4.1,200,3.5
22627,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,347.4,0.0,641.4,0.0,July-October,Very High,2.1,0,4.0
22628,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,320.1,644.2,131.1,2.9,July-October,Very High,5.1,0,3.5
22629,Coringa Wildlife Sanctuary,Kakinada,Wildlife,Kakinada,16.868637,82.268978,188.5,160.4,505.2,2.9,June-September,Medium,5.6,50,3.6
22630,Mypadu Beach Tourism Zone,SPSR Nellore,Beach,Nellore,14.549832,80.058865,259.0,570.4,153.7,3.5,Year Round,Medium,3.4,0,4.7
22631,Rishikonda Beach Area,Visakhapatnam,Beach,Visakhapatnam,17.796553,83.410808,388.5,28.8,682.0,0.5,November-February,Low,2.4,0,4.4
22632,Kadapa,YSR Kadapa,Famous City,Kadapa,14.4673,78.8242,328.3,733.2,122.3,2.2,July-October,Low,1.6,0,4.4
22633,Srikurmam Temple Region,Srikakulam,Caves,Srikurmam,18.269104,83.923832,498.4,120.8,873.3,2.1,December-February,High,4.7,20,4.8
22634,Mypadu Beach Point,SPSR Nellore,Beach,Nellore,14.556235,80.076329,270.2,517.8,145.4,3.1,October-March,High,3.0,0,4.6
22635,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,420.3,772.9,254.2,4.4,Year Round,Medium,2.1,0,3.6
22636,Kanaka Durga Temple,NTR,Temple,Vijayawada,16.490531,80.650811,2.2,358.4,362.6,0.0,October-March,Medium,4.0,0,4.0
22637,Anantapur,Anantapur,Famous City,Anantapur,14.6819,77.6006,428.2,724.5,240.0,4.4,December-February,Low,2.1,0,3.3
22638,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,270.6,599.0,121.3,2.1,October-March,Medium,5.6,0,4.5
22639,Papikondalu Area,Alluri Sitharama Raju,Nature,Rajamahendravaram,17.460543,81.719341,173.0,172.8,531.4,3.0,November-February,Medium,4.7,0,3.6
22640,Undavalli Caves Tourism Zone,NTR,Caves,Vijayawada,16.518283,80.605513,5.5,370.4,390.9,0.1,July-October,Medium,3.6,10,4.9
22641,Pulicat Lake Point,Tirupati,Lake/Wildlife,Sullurpeta,13.579523,80.027564,398.2,665.4,81.2,1.7,July-October,High,5.5,50,3.7
22642,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,214.0,560.8,332.0,4.2,July-October,Very High,2.1,0,3.2
22643,Amaralingeswara Temple Point,Palnadu,Temple,Amaravati,16.593194,80.36023,37.7,384.1,402.8,0.7,June-September,Very High,2.0,100,3.8
22644,Araku Valley View,Alluri Sitharama Raju,Hill Station,Araku,18.32797,82.861752,338.7,97.1,709.7,1.8,December-February,Low,2.8,20,4.4
22645,Vijayawada,NTR,Famous City,Vijayawada,16.5062,80.648,0.0,330.6,389.7,0.0,October-March,Low,3.1,0,4.2
22646,Chittoor,Chittoor,Famous City,Chittoor,13.2172,79.1003,438.5,766.0,61.0,1.2,December-February,Low,4.8,0,4.6
22647,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,281.8,670.4,281.9,6.9,November-February,Very High,2.5,0,4.9
22648,Srisailam Mallikarjuna Temple,Nandyal,Temple,Srisailam,16.047145,78.881218,211.9,589.4,332.5,4.5,December-February,Low,4.3,100,4.6
22649,Vizianagaram Fort Tourism Zone,Vizianagaram,Landmark,Vizianagaram,18.134923,83.369216,363.1,58.8,730.6,1.2,November-February,Medium,5.7,0,3.7
22650,Nellore,SPSR Nellore,Famous City,Nellore,14.4426,79.9865,282.7,622.8,116.0,2.3,December-February,Low,1.4,0,3.6
22651,Annavaram Satyanarayana Temple View,Kakinada,Temple,Annavaram,17.70107,82.963676,329.8,33.5,645.3,0.7,June-September,Medium,3.4,150,4.2
22652,Annavaram Satyanarayana Temple Point,Kakinada,Temple,Annavaram,17.693093,83.030021,312.9,22.4,625.6,0.5,October-March,Very High,2.1,10,5.0
22653,Kanipakam Temple View,Chittoor,Temple,Kanipakam,13.257868,79.163165,439.7,773.7,55.1,1.4,Year Round,Low,3.5,30,4.3
22654,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,458.3,116.1,845.9,2.1,December-February,Very High,3.9,0,4.2
22655,Guntur,Guntur,Famous City,Guntur,16.3067,80.4365,38.3,362.8,333.8,0.9,October-March,Low,1.3,0,4.1
22656,Srisailam Mallikarjuna Temple View,Nandyal,Temple,Srisailam,16.067122,78.85401,242.3,584.9,332.3,4.5,July-October,Medium,3.1,100,3.6
22657,Kakinada,Kakinada,Famous City,Kakinada,16.9891,82.2475,213.7,147.5,558.2,3.1,November-February,Medium,3.0,0,3.3
22658,Ongole,Prakasam,Famous City,Ongole,15.5057,80.0499,146.2,453.8,233.9,2.6,July-October,Medium,2.1,0,4.8
22659,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,56.0,285.2,467.2,1.4,November-February,High,2.1,0,4.6
22660,Visakhapatnam,Visakhapatnam,Famous City,Visakhapatnam,17.6868,83.2185,336.2,0.0,671.7,0.0,June-September,Very High,4.9,0,3.7
22661,Bhavani Island Region,NTR,Tourist Place,Vijayawada,16.531693,80.6299,4.2,326.2,419.3,0.1,June-September,Very High,5.0,10,4.6
22662,Gandikota Fort Region,YSR Kadapa,Fort,Gandikota,14.843024,78.314442,334.0,662.5,195.1,3.6,December-February,Low,5.5,10,3.8
22663,Nandyal,Nandyal,Famous City,Nandyal,15.4786,78.4836,274.4,603.6,260.3,6.4,November-February,High,1.9,0,3.8
22664,Machilipatnam,Krishna,Famous City,Machilipatnam,16.1875,81.1389,74.0,321.2,396.4,1.3,Year Round,High,5.8,0,4.4
22665,Eluru,Eluru,Famous City,Eluru,16.7107,81.0952,59.4,264.8,416.1,1.2,Year Round,Low,5.4,0,5.0
22666,Srisailam,Nandyal,Famous City,Srisailam,16.072,78.8682,237.8,554.2,343.1,5.2,Year Round,Low,2.5,0,4.0
22667,Srikakulam,Srikakulam,Famous City,Srikakulam,18.2949,83.8938,435.6,114.2,742.4,2.6,December-February,Low,4.9,0,3.3
22668,Bhavani Island Tourism Zone,NTR,Tourist Place,Vijayawada,16.535626,80.592622,7.2,350.3,394.4,0.2,Year Round,High,1.5,20,3.6
22669,Kanaka Durga Temple Tourism Zone,NTR,Temple,Vijayawada,16.545475,80.613516,6.5,340.7,373.1,0.1,December-February,Low,4.4,10,5.0
22670,Vizianagaram,Vizianagaram,Famous City,Vizianagaram,18.1067,83.3956,391.0,55.8,776.3,1.1,November-February,High,5.9,0,3.3
22671,Bhavani Island Tourism Zone,NTR,Tourist Place,Vijayawada,16.50305,80.566118,9.9,356.3,383.2,0.2,December-February,Medium,5.9,50,4.7
22672,Uppada Beach Area,Kakinada,Viewpoint,Uppada,16.851854,82.253732,185.7,171.4,514.0,3.2,June-September,Low,6.0,0,4.5
22673,Amaravati,Palnadu,Famous City,Amaravati,16.572,80.3575,34.1,368.8,397.7,0.8,October-March,Low,1.6,0,3.3
22674,Rajamahendravaram,East Godavari,Famous City,Rajamahendravaram,17.0005,81.804,156.5,182.9,510.5,3.7,November-February,High,3.8,0,4.3
22675,Kanaka Durga Temple Region,NTR,Viewpoint,Vijayawada,16.549285,80.583281,9.0,366.6,427.7,0.2,December-February,High,3.2,0,4.1
